2022-03-26, 17:48:53, Found, person, 141, 1584, 1501
2022-03-26, 17:48:53, Eingang, 1233313, 141, No face visible, NA, -1
2022-03-26, 17:48:54, Eingang, 1233323, 141, No face visible, NA, -1
2022-03-26, 17:48:54, Eingang, 1233333, 141, No face visible, NA, -1
2022-03-26, 17:48:55, Eingang, 1233343, 141, No face visible, NA, -1
2022-03-26, 17:48:55, Eingang, 1233353, 141, No face visible, NA, -1
2022-03-26, 17:48:56, Eingang, 1233363, 141, No face visible, NA, -1
2022-03-26, 17:48:57, Eingang, 1233373, 141, No face visible, NA, -1
2022-03-26, 17:48:57, Eingang, 1233374, 141, No face visible, NA, -1
2022-03-26, 17:48:57, Eingang, 1233384, 141, No face visible, NA, -1
2022-03-26, 17:48:58, Eingang, 1233394, 141, No face visible, NA, -1
2022-03-26, 17:48:58, Eingang, 1233407, 141, No face visible, NA, -1
2022-03-26, 17:48:59, Eingang, 1233426, 141, No face visible, NA, -1
2022-03-26, 17:49:00, Eingang, 1233439, 141, No face visible, NA, -1
2022-03-26, 17:49:01, Eingang, 1233449, 141, No face visible, NA, -1
2022-03-26, 17:49:01, Eingang, 1233450, 141, No face visible, NA, -1
2022-03-26, 17:49:01, Eingang, 1233460, 141, No face visible, NA, -1
2022-03-26, 17:49:02, Eingang, 1233470, 141, No face visible, NA, -1
2022-03-26, 17:49:02, Eingang, 1233480, 141, No face visible, NA, -1
2022-03-26, 17:49:03, Eingang, 1233490, 141, No face visible, NA, -1
2022-03-26, 17:49:03, Eingang, 1233500, 141, No face visible, NA, -1
2022-03-26, 17:49:04, Eingang, 1233510, 141, No face visible, NA, -1
2022-03-26, 17:49:04, Eingang, 1233511, 141, No face visible, NA, -1
2022-03-26, 17:49:05, Eingang, 1233521, 141, No face visible, NA, -1
2022-03-26, 17:49:05, Eingang, 1233531, 141, No face visible, NA, -1
2022-03-26, 17:49:06, Eingang, 1233541, 141, No face visible, NA, -1
2022-03-26, 17:49:06, Eingang, 1233551, 141, No face visible, NA, -1
2022-03-26, 17:49:07, Eingang, 1233561, 141, No face visible, NA, -1
2022-03-26, 17:49:08, Eingang, 1233571, 141, No face visible, NA, -1
2022-03-26, 17:49:08, Eingang, 1233572, 141, No face visible, NA, -1
2022-03-26, 17:49:08, Eingang, 1233582, 141, No face visible, NA, -1
2022-03-26, 17:49:08, Eingang, 1233592, 141, No face visible, NA, -1
2022-03-26, 17:49:09, Eingang, 1233602, 141, No face visible, NA, -1
2022-03-26, 17:49:10, Eingang, 1233612, 141, No face visible, NA, -1
2022-03-26, 17:49:10, Eingang, 1233622, 141, No face visible, NA, -1
2022-03-26, 17:49:11, Eingang, 1233632, 141, No face visible, NA, -1
2022-03-26, 17:49:11, Eingang, 1233633, 141, No face visible, NA, -1
2022-03-26, 17:49:11, Eingang, 1233643, 141, No face visible, NA, -1
2022-03-26, 17:49:14, Eingang, 1233686, 141, No face visible, NA, -1
2022-03-26, 17:49:15, Eingang, 1233714, 141, No face visible, NA, -1
2022-03-26, 17:49:20, Lost, person, 141, 1671, 1514
