2022-03-22, 12:37:21, Reidentified, person, 162, 21,  784
2022-03-22, 12:37:21, Eingang, 747384, 162, No face visible, NA, -1
2022-03-22, 12:37:22, Eingang, 747394, 162, No face visible, NA, -1
2022-03-22, 12:37:23, Eingang, 747404, 162, No face visible, NA, -1
2022-03-22, 12:37:23, Eingang, 747405, 162, No face visible, NA, -1
2022-03-22, 12:37:24, Eingang, 747415, 162, No face visible, NA, -1
2022-03-22, 12:37:25, Eingang, 747425, 162, No face visible, NA, -1
2022-03-22, 12:37:26, Eingang, 747438, 162, No face visible, NA, -1
2022-03-22, 12:37:27, Eingang, 747448, 162, No face visible, NA, -1
2022-03-22, 12:37:28, Eingang, 747458, 162, No face visible, NA, -1
2022-03-22, 12:37:29, Eingang, 747468, 162, No face visible, NA, -1
2022-03-22, 12:37:30, Eingang, 747469, 162, No face visible, NA, -1
2022-03-22, 12:37:31, Eingang, 747479, 162, No face visible, NA, -1
2022-03-22, 12:37:31, Eingang, 747489, 162, No face visible, NA, -1
2022-03-22, 12:37:33, Eingang, 747499, 162, No face visible, NA, -1
2022-03-22, 12:37:33, Eingang, 747509, 162, No face visible, NA, -1
2022-03-22, 12:37:35, Eingang, 747519, 162, No face visible, NA, -1
2022-03-22, 12:37:36, Eingang, 747529, 162, No face visible, NA, -1
2022-03-22, 12:37:36, Eingang, 747530, 162, No face visible, NA, -1
2022-03-22, 12:37:37, Eingang, 747540, 162, No face visible, NA, -1
2022-03-22, 12:37:38, Eingang, 747550, 162, No face visible, NA, -1
2022-03-22, 12:37:39, Eingang, 747560, 162, No face visible, NA, -1
2022-03-22, 12:37:40, Eingang, 747570, 162, No face visible, NA, -1
2022-03-22, 12:37:41, Eingang, 747580, 162, No face visible, NA, -1
2022-03-22, 12:37:42, Eingang, 747590, 162, No face visible, NA, -1
2022-03-22, 12:37:42, Eingang, 747591, 162, No face visible, NA, -1
2022-03-22, 12:37:43, Eingang, 747601, 162, No face visible, NA, -1
2022-03-22, 12:37:44, Eingang, 747611, 162, Frau_Möske, NA, -1
2022-03-22, 12:37:53, Lost, person, 162, 2497,  386
