2022-03-28, 11:55:26, Found, person, 10, 1412,  864
2022-03-28, 11:55:26, Eingang, 49117, 10, unknown, NA, [-0.12203798443078995, -0.12495259940624237, -0.016849035397171974, -0.06138543784618378, 0.044364068657159805, 0.0670543983578682, 0.018617674708366394, 0.01601508818566799, -0.01894727721810341, 0.01970437727868557, -0.016591908410191536, 0.031010327860713005, 0.18693703413009644, -0.03965432196855545, -0.022715091705322266, -0.05477374419569969, 0.04497627541422844, -0.0062786852940917015, 0.14374980330467224, -0.1109151840209961, -0.05367158725857735, -0.013416935689747334, 0.08789051324129105, 0.03868531063199043, 0.03827127069234848, 0.05028774216771126, 0.1400889903306961, -0.010299166664481163, -0.14500784873962402, -0.1130748838186264, -0.12129631638526917, -0.018413089215755463, -0.01544981636106968, 0.06007402390241623, 0.09858818352222443, 0.028769392520189285, 0.0049871704541146755, 0.006926023401319981, -0.05489474907517433, -0.012817717157304287, 0.08541682362556458, 0.09567393362522125, 0.0391005203127861, 0.0999889224767685, -0.021196303889155388, -0.14179818332195282, 0.03601650521159172, -0.08738274872303009, 0.15604852139949799, -0.08258773386478424, -0.24691517651081085, 0.021136250346899033, -0.025733264163136482, -0.09887701272964478, -0.020654065534472466, 0.04545952379703522, 0.16438139975070953, 0.04953698441386223, -0.050776343792676926, -0.21157777309417725, -0.02443915791809559, 0.08737089484930038, -0.05372976139187813, 0.1424512267112732, -0.07147340476512909, 0.06600668281316757, -0.0059088910929858685, 0.016606546938419342, 0.007998345419764519, 0.005023044068366289, 0.042175378650426865, 0.061103224754333496, 0.03315403684973717, -0.043833088129758835, 0.09218484163284302, -0.11063191294670105, -0.0945846289396286, 0.05075090751051903, -0.028331177309155464, -0.06301439553499222, -0.01257989089936018, -0.07246584445238113, -0.11588332056999207, -0.03311729431152344, 0.07786229997873306, 0.10533692687749863, 0.09500811994075775, 0.015153300017118454, -0.17621634900569916, 0.1281273066997528, 0.07598273456096649, 0.026019450277090073, -0.061845455318689346, -0.039193473756313324, 0.10957332700490952, 0.12683695554733276, -0.02941080555319786, -0.025251520797610283, -0.0678049772977829, 0.025633402168750763, 0.0057702139019966125, 0.04408562555909157, 0.051316142082214355, -0.10473398119211197, 0.09781555831432343, 0.017354032024741173, -0.02724090777337551, -0.12511907517910004, -0.05288337543606758, -0.20239675045013428, 0.01432723831385374, 0.04341552034020424, 0.04735521599650383, 0.21419653296470642, -0.060521237552165985, 0.08802435547113419, -0.07107488811016083, 0.015720224007964134, 0.19150109589099884, 0.16667693853378296, -0.06661290675401688, -0.05640467628836632, -0.025747278705239296, 0.02981274016201496, 0.10530736297369003, -0.12614059448242188, 0.23796898126602173, 0.0436209999024868]
2022-03-28, 11:55:27, Eingang, 49137, 10, No face visible, NA, -1
2022-03-28, 11:55:28, Eingang, 49157, 10, No face visible, NA, -1
2022-03-28, 11:55:29, Eingang, 49177, 10, No face visible, NA, -1
2022-03-28, 11:55:30, Eingang, 49197, 10, No face visible, NA, -1
2022-03-28, 11:55:31, Eingang, 49217, 10, No face visible, NA, -1
2022-03-28, 11:55:32, Eingang, 49237, 10, No face visible, NA, -1
2022-03-28, 11:55:32, Eingang, 49238, 10, No face visible, NA, -1
2022-03-28, 11:55:33, Eingang, 49258, 10, No face visible, NA, -1
2022-03-28, 11:55:33, Eingang, 49278, 10, No face visible, NA, -1
2022-03-28, 11:55:35, Eingang, 49298, 10, No face visible, NA, -1
2022-03-28, 11:55:36, Eingang, 49318, 10, No face visible, NA, -1
2022-03-28, 11:55:38, Out, person, 10, 1707,  172
