2022-03-26, 10:45:29, Found, person, 19, 2337,  378
2022-03-26, 10:45:29, Eingang, 726145, 19, unknown, NA, [-0.10229534655809402, -0.13834622502326965, -0.05267070233821869, -0.11246629059314728, 0.01791655831038952, 0.031231475993990898, -0.0032804259099066257, 0.016062479466199875, 0.005261796060949564, -0.008314346894621849, 0.06082136183977127, -0.02585786208510399, -0.022864138707518578, -0.05423000082373619, 0.005127661861479282, 0.053226687014102936, 0.06504915654659271, -0.18098287284374237, 0.11459890753030777, -0.14543183147907257, -0.05320679396390915, -0.08011946827173233, -0.03674852475523949, 0.052420053631067276, 0.05120661482214928, -0.002524504205211997, 0.22898317873477936, 0.0794714167714119, -0.09133827686309814, -0.05183994770050049, -0.14581769704818726, 0.06419624388217926, -0.04020841419696808, 0.05087852105498314, 0.07374592125415802, 0.005164997186511755, 0.04535302892327309, 0.012734310701489449, 0.19139166176319122, -0.05025401711463928, 0.09037285298109055, 0.015352522023022175, -0.07957221567630768, -0.03569407761096954, -0.08096965402364731, -0.16466505825519562, 0.014339633285999298, -0.06996860355138779, 0.05482041835784912, 0.04206036776304245, -0.1516236513853073, 0.11792691797018051, 0.10050014406442642, -0.06467312574386597, -0.030007559806108475, 0.11136427521705627, 0.1093011125922203, 0.024512428790330887, -0.023130454123020172, -0.14408466219902039, -0.08789300918579102, 0.0007003379287198186, -0.005512585397809744, 0.1438593864440918, 0.002689928747713566, 0.1328461617231369, 0.04477785527706146, 0.04610377177596092, -0.06020747870206833, -0.003482625586912036, 0.0137949762865901, -0.07763338834047318, 0.07718069106340408, -0.12024854868650436, 0.019247818738222122, -0.022545449435710907, -0.03275596350431442, 0.11849094182252884, -0.05957982689142227, -0.09803210943937302, -0.1287495344877243, -0.07123353332281113, -0.01646151766180992, -0.0022439840249717236, 0.10254910588264465, 0.04123446345329285, 0.1339326947927475, -0.0037469244562089443, -0.14574214816093445, 0.12170689553022385, 0.13136613368988037, -0.03498252481222153, -0.0437525175511837, -0.06543146073818207, 0.12456461042165756, 0.0982879251241684, -0.02428176999092102, -0.11277686059474945, -0.17964057624340057, 0.09518346190452576, -0.07686691731214523, 0.1450987309217453, 0.0970521941781044, -0.0821746289730072, 0.07795031368732452, 0.038389161229133606, 0.0061120144091546535, -0.037778906524181366, -0.04745044186711311, -0.07143065333366394, 0.06056191399693489, 0.011097013019025326, 0.12265892326831818, 0.06918907165527344, -0.04126128554344177, 0.020603112876415253, -0.048731859773397446, 0.20080383121967316, 0.12325290590524673, 0.010931214317679405, -0.054867204278707504, -0.03706636279821396, 0.15088418126106262, 0.06618699431419373, 0.14384479820728302, -0.128825381398201, 0.18118879199028015, 0.06384347379207611]
2022-03-26, 10:45:30, Eingang, 726155, 19, No face visible, NA, -1
2022-03-26, 10:45:31, Eingang, 726165, 19, No face visible, NA, -1
2022-03-26, 10:45:31, Eingang, 726175, 19, No face visible, NA, -1
2022-03-26, 10:45:31, Eingang, 726185, 19, No face visible, NA, -1
2022-03-26, 10:45:32, Eingang, 726195, 19, No face visible, NA, -1
2022-03-26, 10:45:33, Eingang, 726205, 19, No face visible, NA, -1
2022-03-26, 10:45:33, Eingang, 726206, 19, No face visible, NA, -1
2022-03-26, 10:45:33, Eingang, 726216, 19, No face visible, NA, -1
2022-03-26, 10:45:34, Eingang, 726226, 19, No face visible, NA, -1
2022-03-26, 10:45:34, Eingang, 726236, 19, No face visible, NA, -1
2022-03-26, 10:45:35, Eingang, 726246, 19, No face visible, NA, -1
2022-03-26, 10:45:35, Eingang, 726259, 19, No face visible, NA, -1
2022-03-26, 10:45:36, Eingang, 726269, 19, No face visible, NA, -1
2022-03-26, 10:45:36, Eingang, 726270, 19, No face visible, NA, -1
2022-03-26, 10:45:37, Eingang, 726280, 19, No face visible, NA, -1
2022-03-26, 10:45:37, Eingang, 726290, 19, No face visible, NA, -1
2022-03-26, 10:45:37, Eingang, 726300, 19, No face visible, NA, -1
2022-03-26, 10:45:38, Eingang, 726310, 19, No face visible, NA, -1
2022-03-26, 10:45:38, Eingang, 726320, 19, No face visible, NA, -1
2022-03-26, 10:45:39, Eingang, 726330, 19, No face visible, NA, -1
2022-03-26, 10:45:39, Eingang, 726331, 19, No face visible, NA, -1
2022-03-26, 10:45:39, Eingang, 726341, 19, No face visible, NA, -1
2022-03-26, 10:45:40, Eingang, 726351, 19, No face visible, NA, -1
2022-03-26, 10:45:45, Lost, person, 19, 2449,  181
