2022-03-30, 11:45:57, Found, person, 205, 1239,  186
2022-03-30, 11:45:57, Eingang, 2917009, 205, unknown, NA, [-0.029477262869477272, -0.11449015140533447, -0.06302772462368011, -0.09804993867874146, 0.10426868498325348, -0.004243920091539621, 0.019250772893428802, -0.06911525130271912, -0.007047553081065416, 0.038621846586465836, 0.07663017511367798, -0.07945487648248672, 0.00551871582865715, -0.12582817673683167, -0.006472838576883078, 0.1078665554523468, 0.09957965463399887, -0.09359252452850342, 0.07542111724615097, -0.15787646174430847, 0.0022542851511389017, 0.01376928947865963, -0.06549786776304245, -0.026977766305208206, 0.05091659352183342, -0.06552678346633911, 0.15923193097114563, 0.08490186184644699, -0.07765181362628937, 0.013625124469399452, -0.07090339064598083, 0.07579746842384338, 0.020701939240098, -0.026702243834733963, 0.13843008875846863, -0.07962680608034134, 0.08071723580360413, 0.013426094315946102, 0.12199512869119644, -0.0024182964116334915, 0.08119957149028778, 0.011929303407669067, -0.03204265236854553, -0.033614277839660645, -0.08878021687269211, -0.15397439897060394, 0.01883396878838539, -0.019418522715568542, 0.10660485923290253, 0.09035486727952957, -0.16054999828338623, 0.06848395615816116, 0.07015584409236908, -0.07572456449270248, 0.004609015304595232, 0.06794697791337967, 0.1352463811635971, 0.04078849032521248, -0.050940677523612976, -0.2259434312582016, -0.10781153291463852, -0.07705854624509811, -0.020542819052934647, 0.21715980768203735, -0.004992824979126453, 0.15530045330524445, 0.07738276571035385, 0.023438002914190292, 0.0340721532702446, -0.10348614305257797, -0.007713679689913988, -0.13200832903385162, 0.03349722549319267, -0.11522356420755386, -0.02133326604962349, -0.038268428295850754, 0.0009688559803180397, 0.09816440939903259, -0.06873579323291779, -0.106230728328228, -0.152960404753685, -0.046425554901361465, 0.027121756225824356, 0.06042749434709549, 0.13395646214485168, 0.02063537761569023, 0.10982263833284378, -0.06145466864109039, -0.1879911720752716, 0.20578435063362122, 0.09002408385276794, 0.02382175624370575, -0.004873612429946661, -0.012764079496264458, 0.134327694773674, 0.04495026171207428, -0.016518963500857353, -0.09710279852151871, -0.22513623535633087, 0.03073929250240326, -0.08875451236963272, 0.14995092153549194, 0.07989409565925598, -0.10333355516195297, 0.018809717148542404, 0.057198185473680496, -0.035941313952207565, 0.0043612318113446236, -0.07388055324554443, -0.1057346761226654, 0.03785514831542969, 0.059988897293806076, 0.10926715284585953, 0.12727299332618713, -0.030441392213106155, 0.020713577046990395, 0.023595666512846947, 0.11798807233572006, 0.07440132647752762, 0.040390849113464355, -0.031532492488622665, -0.020839108154177666, 0.10945241153240204, 0.037067875266075134, 0.10445170104503632, -0.1320660561323166, 0.07726536691188812, 0.04852323606610298]
2022-03-30, 11:45:57, Eingang, 2917029, 205, No face visible, NA, -1
2022-03-30, 11:45:59, Eingang, 2917049, 205, unknown, NA, [-0.03269078582525253, -0.11397498100996017, -0.042858872562646866, -0.10707898437976837, 0.10399994254112244, 0.04391489177942276, -0.001696786261163652, -0.0637623593211174, -0.0012885112082585692, 0.06551646441221237, 0.05864081531763077, -0.07904262095689774, 0.027766359969973564, -0.10472321510314941, -0.008099845610558987, 0.12128732353448868, 0.10183143615722656, -0.10310347378253937, 0.088004931807518, -0.12870797514915466, 0.04715535044670105, 0.031452298164367676, -0.07444636523723602, -0.009996609762310982, 0.042746417224407196, -0.045857325196266174, 0.12977652251720428, 0.09912387281656265, -0.0344388373196125, 0.01134689711034298, -0.03635294362902641, 0.09916897118091583, 0.02402421645820141, -0.012431465089321136, 0.13428190350532532, -0.12522229552268982, 0.039471518248319626, 0.023847131058573723, 0.11323423683643341, 0.019515041261911392, 0.08376546949148178, 0.0074749598279595375, -0.033036909997463226, -0.0477069653570652, -0.10609559714794159, -0.15165004134178162, 0.007077017333358526, -0.011378672905266285, 0.1300896555185318, 0.07675018161535263, -0.1347333788871765, 0.07777423411607742, 0.04863216355443001, -0.08731451630592346, 0.021779874339699745, 0.029686858877539635, 0.1509103775024414, 0.020570803433656693, -0.08090315759181976, -0.2490425556898117, -0.11351720988750458, -0.0904504582285881, -0.006928517948836088, 0.22596582770347595, -0.05904439836740494, 0.12784795463085175, 0.10239440947771072, 0.008416316471993923, 0.06839171797037125, -0.12687045335769653, -0.02506336383521557, -0.1460837423801422, 0.05227350816130638, -0.09408111125230789, -0.02606295794248581, -0.03367353603243828, 0.013459413312375546, 0.09540555626153946, -0.0735926553606987, -0.08075233548879623, -0.16546501219272614, -0.0573233962059021, 0.035751551389694214, 0.05169451981782913, 0.11241971701383591, 0.04602838680148125, 0.11860133707523346, -0.06188122183084488, -0.1829831302165985, 0.21737320721149445, 0.0919274091720581, 0.01804165355861187, 0.005887039937078953, 0.014973845332860947, 0.19780872762203217, 0.0372462123632431, -0.0010066187242045999, -0.06545164436101913, -0.22624467313289642, -0.005609835032373667, -0.08197809010744095, 0.15224114060401917, 0.04805173724889755, -0.06569303572177887, 0.009126117452979088, 0.04843464121222496, -0.0411907359957695, 0.016415370628237724, -0.07543019950389862, -0.10456205159425735, 0.029959414154291153, 0.055000197142362595, 0.08297529816627502, 0.1223512515425682, -0.03499162197113037, 0.018659992143511772, 0.0405270978808403, 0.08116514980792999, 0.05039073899388313, -0.009617466479539871, -0.04608721286058426, 0.016438424587249756, 0.08881273120641708, 0.020983820781111717, 0.10333053767681122, -0.13239185512065887, 0.04762980714440346, 0.05830191820859909]
2022-03-30, 11:46:00, Eingang, 2917069, 205, No face visible, NA, -1
2022-03-30, 11:46:01, Eingang, 2917089, 205, No face visible, NA, -1
2022-03-30, 11:46:03, Eingang, 2917139, 205, No face visible, NA, -1
2022-03-30, 11:46:04, Eingang, 2917159, 205, No face visible, NA, -1
2022-03-30, 11:46:04, Eingang, 2917160, 205, No face visible, NA, -1
2022-03-30, 11:46:06, Eingang, 2917180, 205, No face visible, NA, -1
2022-03-30, 11:46:07, Eingang, 2917200, 205, No face visible, NA, -1
2022-03-30, 11:46:08, Eingang, 2917220, 205, No face visible, NA, -1
2022-03-30, 11:46:09, Eingang, 2917240, 205, No face visible, NA, -1
