2022-03-22, 15:39:35, Found, person, 298, 2206, 1028
2022-03-22, 15:39:35, Eingang, 856414, 298, No face visible, NA, -1
2022-03-22, 15:39:36, Eingang, 856424, 298, No face visible, NA, -1
2022-03-22, 15:39:37, Eingang, 856434, 298, No face visible, NA, -1
2022-03-22, 15:39:38, Eingang, 856444, 298, No face visible, NA, -1
2022-03-22, 15:39:40, Eingang, 856463, 298, No face visible, NA, -1
2022-03-22, 15:39:41, Eingang, 856473, 298, unknown, NA, [-0.01835346594452858, -0.09833189100027084, -0.03003728576004505, -0.11484085768461227, 0.09008976072072983, 0.023809293285012245, 0.022674301639199257, -0.06220809742808342, 0.008799035102128983, 0.053961578756570816, 0.0813160240650177, -0.10096611082553864, 0.012100139632821083, -0.11194563657045364, -0.008926275186240673, 0.1160426065325737, 0.08167706429958344, -0.09942331910133362, 0.07820017635822296, -0.15626318752765656, 0.012383392080664635, 0.041368234902620316, -0.08185040205717087, -0.011897486634552479, 0.0537274144589901, -0.039935123175382614, 0.1332685351371765, 0.08912226557731628, -0.06202903762459755, -0.013474246487021446, -0.05137721076607704, 0.08072371780872345, 0.037712857127189636, -0.04180913418531418, 0.15856525301933289, -0.09865494072437286, 0.09814875572919846, 0.02449173666536808, 0.15119491517543793, 0.0017597865080460906, 0.08219435065984726, -0.0054895333014428616, -0.041105322539806366, -0.08015172183513641, -0.11647850275039673, -0.1370455026626587, 0.0031491348054260015, -0.008095314726233482, 0.11653044074773788, 0.07470517605543137, -0.1155443862080574, 0.07557085156440735, 0.061636440455913544, -0.08498531579971313, 0.01718848943710327, 0.07175527513027191, 0.12552613019943237, 0.03814271464943886, -0.021568788215517998, -0.21996653079986572, -0.08272889256477356, -0.08428157866001129, -0.02438991703093052, 0.23498877882957458, 0.0028717448003590107, 0.12438210099935532, 0.0884847342967987, 0.0011208383366465569, 0.05323342606425285, -0.11221212148666382, -0.029706552624702454, -0.15946200489997864, 0.07013572007417679, -0.12293606251478195, -0.03994397819042206, -0.04406369477510452, 0.007370538543909788, 0.11224153637886047, -0.05612814426422119, -0.101667620241642, -0.146611750125885, -0.06998567283153534, 0.03395552933216095, 0.0621524378657341, 0.0898265540599823, 0.0015718811191618443, 0.12996524572372437, -0.06798724085092545, -0.17532573640346527, 0.20076631009578705, 0.0807754248380661, 0.03237633779644966, -0.018067069351673126, -0.03579949587583542, 0.16486099362373352, 0.04508223012089729, 0.0022529996931552887, -0.10324200987815857, -0.20438514649868011, 0.020516114309430122, -0.1025199294090271, 0.16556750237941742, 0.05091178044676781, -0.07753223925828934, 0.01902681589126587, 0.07105361670255661, -0.016839424148201942, -0.0007911270367912948, -0.05373251065611839, -0.11507981270551682, 0.038743436336517334, 0.03316980227828026, 0.1062115803360939, 0.1211041510105133, -0.022002939134836197, 0.026560209691524506, 0.04786236584186554, 0.12119361758232117, 0.07002244144678116, 0.03327072411775589, -0.06895513087511063, -0.026235664263367653, 0.10124946385622025, 0.06321563571691513, 0.10227087885141373, -0.10433430969715118, 0.08175493776798248, 0.04278950020670891]
2022-03-22, 15:39:42, Eingang, 856489, 298, No face visible, NA, -1
2022-03-22, 15:39:42, Eingang, 856490, 298, No face visible, NA, -1
2022-03-22, 15:39:44, Eingang, 856500, 298, No face visible, NA, -1
2022-03-22, 15:39:44, Eingang, 856510, 298, No face visible, NA, -1
2022-03-22, 15:39:46, Eingang, 856520, 298, No face visible, NA, -1
2022-03-22, 15:39:47, Eingang, 856530, 298, No face visible, NA, -1
2022-03-22, 15:39:48, Eingang, 856540, 298, No face visible, NA, -1
2022-03-22, 15:39:49, Eingang, 856550, 298, No face visible, NA, -1
2022-03-22, 15:39:49, Eingang, 856551, 298, No face visible, NA, -1
2022-03-22, 15:39:50, Eingang, 856561, 298, No face visible, NA, -1
2022-03-22, 15:39:51, Eingang, 856577, 298, No face visible, NA, -1
2022-03-22, 15:39:52, Eingang, 856587, 298, No face visible, NA, -1
2022-03-22, 15:39:53, Eingang, 856597, 298, No face visible, NA, -1
2022-03-22, 15:39:54, Eingang, 856607, 298, No face visible, NA, -1
2022-03-22, 15:39:55, Eingang, 856617, 298, No face visible, NA, -1
2022-03-22, 15:39:55, Eingang, 856618, 298, No face visible, NA, -1
2022-03-22, 15:39:56, Eingang, 856628, 298, No face visible, NA, -1
2022-03-22, 15:39:58, Eingang, 856638, 298, No face visible, NA, -1
2022-03-22, 15:40:00, Eingang, 856657, 298, No face visible, NA, -1
2022-03-22, 15:40:00, Eingang, 856667, 298, No face visible, NA, -1
