2022-03-21, 17:28:48, Reidentified, person, 32, 20, 1463
2022-03-21, 17:28:49, Eingang, 40547, 32, unknown, NA, [-0.04044074937701225, -0.08361374586820602, -0.05750846117734909, -0.09372054785490036, 0.08463682234287262, -0.004162627272307873, 0.03791089355945587, -0.04165610671043396, 0.019210249185562134, 0.04936613515019417, 0.07238955050706863, -0.09106200933456421, 0.004830078221857548, -0.13698261976242065, -0.021386688575148582, 0.09700483828783035, 0.07128424942493439, -0.10512524098157883, 0.07261653989553452, -0.1742473542690277, 0.00012713919568341225, 0.03110397234559059, -0.08670521527528763, -0.014690984971821308, 0.04000061750411987, -0.03682444989681244, 0.15217013657093048, 0.0851646140217781, -0.08681746572256088, -0.026496000587940216, -0.08525501191616058, 0.06574580818414688, 0.03203917667269707, -0.04714936763048172, 0.1463252454996109, -0.0698254257440567, 0.1175740510225296, 0.011669259518384933, 0.15709388256072998, -0.0246482752263546, 0.09148441255092621, 0.0265973974019289, -0.05101289227604866, -0.06774850934743881, -0.0930238664150238, -0.11706418544054031, 0.005518870893865824, -0.022574713453650475, 0.10505751520395279, 0.08355674892663956, -0.13675177097320557, 0.06826990097761154, 0.06254785507917404, -0.06407386809587479, -0.025021294131875038, 0.10179537534713745, 0.12541280686855316, 0.01870746910572052, -0.02229137346148491, -0.22067542374134064, -0.10042998194694519, -0.06670732796192169, -0.03722937032580376, 0.20936618745326996, 0.02113131433725357, 0.13778682053089142, 0.07858987152576447, 0.001363045652396977, 0.0345631018280983, -0.10903264582157135, -0.010921591892838478, -0.1248309388756752, 0.046911418437957764, -0.14158035814762115, -0.006623896770179272, -0.05906299501657486, 0.0001669801858952269, 0.13823017477989197, -0.05794913321733475, -0.09517696499824524, -0.14652110636234283, -0.07440931349992752, 0.03097967803478241, 0.014709368348121643, 0.09063322842121124, 0.024082519114017487, 0.11515241116285324, -0.03275801241397858, -0.16689926385879517, 0.21312648057937622, 0.0901368036866188, 0.037087228149175644, -0.014230352826416492, -0.021254954859614372, 0.13221919536590576, 0.048952873796224594, -0.0005199945298954844, -0.12636424601078033, -0.1912105232477188, 0.055129826068878174, -0.10093823820352554, 0.17761977016925812, 0.0844622328877449, -0.10753460973501205, 0.02689323015511036, 0.07254376262426376, -0.017375698313117027, 0.00539758987724781, -0.06622663885354996, -0.08168395608663559, 0.04572446644306183, 0.029045958071947098, 0.08309003710746765, 0.1432306319475174, -0.03696319833397865, 0.04616440460085869, 0.020105432718992233, 0.1348010152578354, 0.07935889065265656, 0.03550432249903679, -0.07600848376750946, -0.043608181178569794, 0.10692150145769119, 0.06865952163934708, 0.09331225603818893, -0.11547867953777313, 0.09849683940410614, 0.04070821404457092]
2022-03-21, 17:28:49, Eingang, 40557, 32, unknown, NA, [-0.019542913883924484, -0.10115567594766617, -0.03674352541565895, -0.11154147237539291, 0.09889397025108337, 0.010979426093399525, 0.03471845015883446, -0.06327997148036957, -0.0035649833735078573, 0.06846702843904495, 0.07289080321788788, -0.08226184546947479, 0.010770067572593689, -0.09965874999761581, 0.001104801776818931, 0.12208358198404312, 0.08468444645404816, -0.09257243573665619, 0.075904481112957, -0.13879293203353882, 0.012559756636619568, 0.021419242024421692, -0.09204548597335815, -0.03217324614524841, 0.041405901312828064, -0.05265897884964943, 0.14558489620685577, 0.0987241119146347, -0.06463591754436493, 0.015332967042922974, -0.05985886976122856, 0.09149961173534393, 0.029067164286971092, -0.04416070133447647, 0.14271344244480133, -0.11037352681159973, 0.06375959515571594, 0.019887741655111313, 0.13025140762329102, 0.010517976246774197, 0.09193369746208191, -0.005293996073305607, -0.057843782007694244, -0.04888133332133293, -0.10201060771942139, -0.16745446622371674, 0.0016736359102651477, 0.0029015466570854187, 0.10852619260549545, 0.08248086273670197, -0.1386234015226364, 0.0791403129696846, 0.04420613497495651, -0.06691760569810867, 0.014203155413269997, 0.04064352437853813, 0.15723657608032227, 0.06012516841292381, -0.05531827732920647, -0.24518413841724396, -0.10166708379983902, -0.09111934155225754, -0.0018966307397931814, 0.23016667366027832, -0.013136869296431541, 0.13564646244049072, 0.08738911151885986, 0.002331010764464736, 0.06636608392000198, -0.11361302435398102, -0.04315999895334244, -0.14942270517349243, 0.05979164317250252, -0.09139429032802582, -0.05236741527915001, -0.05368954688310623, 0.010755237191915512, 0.08774704486131668, -0.05532301962375641, -0.08630923181772232, -0.15839125216007233, -0.06951728463172913, 0.045803580433130264, 0.05653204396367073, 0.1074242815375328, 0.015152948908507824, 0.1277654469013214, -0.06355703622102737, -0.16940316557884216, 0.2201286405324936, 0.07173669338226318, 0.018028195947408676, 0.002838206011801958, -0.008880321867763996, 0.1502964049577713, 0.031765904277563095, 0.00624272134155035, -0.10019692033529282, -0.21791495382785797, 0.012014019303023815, -0.11752331256866455, 0.18316638469696045, 0.04898490384221077, -0.07513954490423203, 0.029968470335006714, 0.06213477626442909, -0.028262633830308914, 0.013752462342381477, -0.04717407748103142, -0.08283398300409317, 0.03971020132303238, 0.05179579555988312, 0.09759321808815002, 0.1277640014886856, -0.03629423305392265, 0.026158655062317848, 0.04901225119829178, 0.10225021094083786, 0.06797174364328384, 0.0006482681492343545, -0.05890929326415062, 0.028673704713582993, 0.08821569383144379, 0.029814060777425766, 0.09226064383983612, -0.10458832234144211, 0.04987125098705292, 0.03656190633773804]
2022-03-21, 17:28:51, Eingang, 40567, 32, No face visible, NA, -1
2022-03-21, 17:28:51, Eingang, 40577, 32, No face visible, NA, -1
2022-03-21, 17:28:53, Eingang, 40587, 32, No face visible, NA, -1
2022-03-21, 17:28:53, Eingang, 40588, 32, No face visible, NA, -1
2022-03-21, 17:28:53, Eingang, 40598, 32, No face visible, NA, -1
2022-03-21, 17:28:55, Eingang, 40608, 32, No face visible, NA, -1
2022-03-21, 17:28:55, Eingang, 40618, 32, No face visible, NA, -1
2022-03-21, 17:28:57, Eingang, 40628, 32, No face visible, NA, -1
2022-03-21, 17:28:57, Eingang, 40638, 32, No face visible, NA, -1
2022-03-21, 17:28:59, Eingang, 40648, 32, No face visible, NA, -1
2022-03-21, 17:28:59, Eingang, 40649, 32, No face visible, NA, -1
2022-03-21, 17:28:59, Eingang, 40659, 32, No face visible, NA, -1
2022-03-21, 17:29:01, Eingang, 40678, 32, No face visible, NA, -1
2022-03-21, 17:29:03, Eingang, 40688, 32, No face visible, NA, -1
2022-03-21, 17:29:03, Eingang, 40698, 32, No face visible, NA, -1
2022-03-21, 17:29:05, Eingang, 40708, 32, No face visible, NA, -1
2022-03-21, 17:29:14, Lost, person, 32, 2517, 1068
