2022-03-26, 11:18:27, Found, person, 34, 2362, 1394
2022-03-26, 11:18:27, Eingang, 765673, 34, unknown, NA, [-0.10683973133563995, -0.04397229850292206, -0.0469280369579792, -0.009486560709774494, 0.08967553079128265, -0.06979674845933914, 0.13401812314987183, 0.0884077325463295, 0.14090323448181152, -0.05520367994904518, 0.1309998333454132, 0.044984351843595505, -0.04213475435972214, -0.03610420227050781, -0.02031727507710457, 0.08696326613426208, 0.05774868652224541, -0.18644362688064575, 0.03838318586349487, -0.06473775207996368, -0.11161773651838303, -0.0020607351325452328, -0.03470166027545929, 0.019592881202697754, 0.009276886470615864, 0.05488461256027222, 0.2580043375492096, 0.03159323334693909, -0.15680231153964996, -0.04718160629272461, -0.10652866214513779, -0.060376688838005066, -0.04677002504467964, 0.05071226879954338, 0.11945861577987671, 0.07094813883304596, -0.0053269159980118275, -0.0016574776964262128, 0.1739247441291809, -0.008780937641859055, -0.1469922959804535, 0.0821661576628685, -0.06267822533845901, 0.013187464326620102, -0.09544011950492859, -0.049515075981616974, -0.06548045575618744, -0.09226346760988235, -0.08084634691476822, 0.12160441279411316, -0.059909988194704056, 0.200269415974617, 0.07912708818912506, -0.06418940424919128, 0.0811767727136612, 0.05499263107776642, 0.09840883314609528, 0.0806117132306099, -0.04433165490627289, -0.09675782173871994, -0.015568210743367672, 0.0827915370464325, 0.021800657734274864, -0.03980089724063873, 0.11906633526086807, 0.15906602144241333, -0.09051646292209625, 0.1693078875541687, -0.19767466187477112, 0.11997097730636597, 0.10566230863332748, 0.0006476594135165215, -0.02409529872238636, -0.11089049279689789, -0.0626291036605835, 0.10595129430294037, -0.043989527970552444, 0.041038233786821365, -0.05911969766020775, -0.04623863101005554, -0.10986973345279694, 0.06478775292634964, 0.05837817117571831, 0.032827481627464294, 0.052347034215927124, -0.06435620784759521, 0.07961320877075195, 0.009244006127119064, -0.08025699853897095, -0.039827629923820496, 0.004845763556659222, -0.06593725085258484, -0.02683321386575699, 0.009351016022264957, 0.0006407239125110209, 0.01248192135244608, -0.09540843218564987, 0.027710482478141785, -0.1136278286576271, 0.09473983198404312, 0.05848384648561478, 0.0047851973213255405, -0.026425963267683983, -0.05356845632195473, 0.03784337639808655, 0.052032969892024994, -0.0034411505330353975, -0.002308180555701256, -0.024628113955259323, -0.026203004643321037, 0.17693716287612915, -0.05661937966942787, 0.24814431369304657, 0.036417677998542786, 0.007635990623384714, 0.10548675060272217, -0.06051524728536606, 0.13545995950698853, 0.18960058689117432, 0.02216150052845478, 0.06281789392232895, 0.0303694698959589, 0.012043869122862816, -0.055520642548799515, 0.14141066372394562, -0.09348484873771667, 0.10266400128602982, -0.0707918256521225]
2022-03-26, 11:18:28, Eingang, 765683, 34, No face visible, NA, -1
2022-03-26, 11:18:28, Eingang, 765693, 34, No face visible, NA, -1
2022-03-26, 11:18:29, Eingang, 765703, 34, No face visible, NA, -1
2022-03-26, 11:18:29, Eingang, 765713, 34, No face visible, NA, -1
2022-03-26, 11:18:30, Eingang, 765723, 34, No face visible, NA, -1
2022-03-26, 11:18:30, Eingang, 765733, 34, No face visible, NA, -1
2022-03-26, 11:18:30, Eingang, 765734, 34, No face visible, NA, -1
2022-03-26, 11:18:31, Eingang, 765744, 34, No face visible, NA, -1
2022-03-26, 11:18:31, Eingang, 765754, 34, No face visible, NA, -1
2022-03-26, 11:18:32, Eingang, 765764, 34, No face visible, NA, -1
2022-03-26, 11:18:32, Eingang, 765774, 34, No face visible, NA, -1
2022-03-26, 11:18:32, Eingang, 765784, 34, No face visible, NA, -1
2022-03-26, 11:18:33, Eingang, 765794, 34, No face visible, NA, -1
2022-03-26, 11:18:33, Eingang, 765795, 34, No face visible, NA, -1
2022-03-26, 11:18:34, Eingang, 765805, 34, No face visible, NA, -1
2022-03-26, 11:18:34, Eingang, 765815, 34, No face visible, NA, -1
2022-03-26, 11:18:35, Eingang, 765825, 34, No face visible, NA, -1
2022-03-26, 11:18:35, Eingang, 765835, 34, No face visible, NA, -1
2022-03-26, 11:18:36, Eingang, 765845, 34, No face visible, NA, -1
2022-03-26, 11:18:36, Eingang, 765855, 34, No face visible, NA, -1
2022-03-26, 11:18:36, Eingang, 765856, 34, No face visible, NA, -1
2022-03-26, 11:18:37, Eingang, 765866, 34, No face visible, NA, -1
2022-03-26, 11:18:37, Eingang, 765876, 34, No face visible, NA, -1
2022-03-26, 11:18:42, Lost, person, 34, 2359,  476
