2022-03-27, 17:43:57, Reidentified, person, 34, 21, 1072
2022-03-27, 17:43:58, Eingang, 105105, 34, No face visible, NA, -1
2022-03-27, 17:43:58, Eingang, 105115, 34, No face visible, NA, -1
2022-03-27, 17:43:59, Eingang, 105125, 34, No face visible, NA, -1
2022-03-27, 17:43:59, Eingang, 105126, 34, No face visible, NA, -1
2022-03-27, 17:43:59, Eingang, 105136, 34, No face visible, NA, -1
2022-03-27, 17:44:00, Eingang, 105146, 34, No face visible, NA, -1
2022-03-27, 17:44:00, Eingang, 105156, 34, No face visible, NA, -1
2022-03-27, 17:44:01, Eingang, 105166, 34, No face visible, NA, -1
2022-03-27, 17:44:01, Eingang, 105176, 34, No face visible, NA, -1
2022-03-27, 17:44:02, Eingang, 105186, 34, No face visible, NA, -1
2022-03-27, 17:44:02, Eingang, 105187, 34, No face visible, NA, -1
2022-03-27, 17:44:02, Eingang, 105197, 34, No face visible, NA, -1
2022-03-27, 17:44:03, Eingang, 105207, 34, No face visible, NA, -1
2022-03-27, 17:44:04, Eingang, 105217, 34, No face visible, NA, -1
2022-03-27, 17:44:05, Eingang, 105239, 34, No face visible, NA, -1
2022-03-27, 17:44:05, Eingang, 105249, 34, No face visible, NA, -1
2022-03-27, 17:44:07, Eingang, 105283, 34, No face visible, NA, -1
2022-03-27, 17:44:07, Eingang, 105284, 34, No face visible, NA, -1
2022-03-27, 17:44:08, Eingang, 105312, 34, unknown, NA, [-0.04528383910655975, -0.10767082124948502, -0.022286048159003258, -0.08373289555311203, 0.140907883644104, 0.053774911910295486, 0.03139204904437065, -0.07427877932786942, 0.022479144856333733, 0.046143170446157455, 0.0994880348443985, -0.08954782783985138, 0.030828019604086876, -0.13688038289546967, -0.02340310625731945, 0.11537221819162369, 0.08415713161230087, -0.06500395387411118, 0.06746292114257812, -0.11103887856006622, 0.03172808140516281, 0.03774944320321083, -0.09021314233541489, 0.021022045984864235, 0.01515511330217123, -0.06440658122301102, 0.12253983318805695, 0.0722925141453743, -0.050968069583177567, -0.03081510402262211, -0.023446353152394295, 0.10575547069311142, 0.03216308355331421, -0.0357867106795311, 0.10747349262237549, -0.09635283797979355, 0.04048670828342438, 0.022452443838119507, 0.05878128483891487, 0.0307469479739666, 0.11624725908041, -0.02754112333059311, -0.02412252128124237, -0.04892972856760025, -0.10004085302352905, -0.1925528347492218, 0.03154075890779495, 0.02796253003180027, 0.1366875320672989, 0.05689909681677818, -0.14378494024276733, 0.07711581885814667, 0.033949676901102066, -0.04472441226243973, 0.01833992265164852, 0.05052970349788666, 0.09035118669271469, 0.027938328683376312, -0.06996683776378632, -0.21304352581501007, -0.10369493067264557, -0.10411667823791504, -0.012197379022836685, 0.23392677307128906, -0.029660627245903015, 0.13665610551834106, 0.11461372673511505, 0.0567232221364975, 0.06709514558315277, -0.112074114382267, -0.061142802238464355, -0.1626107543706894, 0.07030460238456726, -0.06218500807881355, -0.05688267573714256, -0.06024414673447609, 0.0035370439291000366, 0.08973295986652374, -0.11119545996189117, -0.07028187066316605, -0.15864697098731995, -0.09461497515439987, -0.008660952560603619, 0.0559646300971508, 0.09150861203670502, 0.05164941027760506, 0.13325394690036774, -0.09011814743280411, -0.1515510231256485, 0.18501590192317963, 0.08079268038272858, 0.018183980137109756, 0.029394861310720444, -0.03877071291208267, 0.18275775015354156, 0.02499781735241413, -0.028267599642276764, -0.09085142612457275, -0.2076873928308487, 0.014904242940247059, -0.10110193490982056, 0.17283165454864502, 0.03374980017542839, -0.08208482712507248, 0.017950018867850304, 0.054140832275152206, -0.028968287631869316, -0.03719358146190643, -0.05049162730574608, -0.1193283200263977, 0.00590105913579464, 0.08072414994239807, 0.10081053525209427, 0.11638923734426498, -0.06768370419740677, 0.03143579885363579, 0.009259364567697048, 0.05204162001609802, 0.023303845897316933, 0.05141286179423332, -0.11565715074539185, 0.006202474236488342, 0.11215374618768692, 0.03344650939106941, 0.11650337278842926, -0.07362447679042816, 0.10094522684812546, 0.10335656255483627]
2022-03-27, 17:44:09, Eingang, 105322, 34, unknown, NA, [-0.04270264133810997, -0.10733474045991898, -0.035174496471881866, -0.07774394750595093, 0.13518376648426056, 0.04820526763796806, 0.024207375943660736, -0.08350585401058197, 0.007950066588819027, 0.06229618936777115, 0.06865207105875015, -0.08867453038692474, 0.03439570963382721, -0.12253168970346451, 0.005716638173907995, 0.11820249259471893, 0.08919031918048859, -0.06482400745153427, 0.08045189082622528, -0.11638979613780975, 0.021513745188713074, 0.02714487910270691, -0.06595272570848465, 0.010778932832181454, 0.018290719017386436, -0.05600389093160629, 0.13967116177082062, 0.07466410845518112, -0.07103423774242401, -0.010762151330709457, -0.03330691158771515, 0.0980263352394104, 0.024563360959291458, -0.02304556593298912, 0.1236519142985344, -0.13094116747379303, 0.07260514050722122, 0.012391590513288975, 0.07670046389102936, 0.021437326446175575, 0.10002249479293823, -0.026460880413651466, -0.01640533283352852, -0.04141741991043091, -0.0998375415802002, -0.17885519564151764, 0.033038150519132614, 0.012476522475481033, 0.14866116642951965, 0.06385093927383423, -0.14130812883377075, 0.07212100923061371, 0.040143296122550964, -0.05871851369738579, 0.03621895611286163, 0.030742213129997253, 0.11534786969423294, 0.044975537806749344, -0.06224771961569786, -0.22497901320457458, -0.09960715472698212, -0.08657381683588028, -0.0061666169203817844, 0.23924924433231354, -0.043444886803627014, 0.13777023553848267, 0.10516249388456345, 0.04807610437273979, 0.06820960342884064, -0.1119326502084732, -0.04730714112520218, -0.15884186327457428, 0.06942423433065414, -0.06146258860826492, -0.06566459685564041, -0.04290788993239403, -0.0002728283579926938, 0.07684113830327988, -0.09280416369438171, -0.09682849794626236, -0.16726410388946533, -0.0800776481628418, 0.0016696563689038157, 0.07653100788593292, 0.09802266955375671, 0.03138618543744087, 0.134111225605011, -0.08710097521543503, -0.17711521685123444, 0.1770632117986679, 0.06933321803808212, 0.011510470882058144, 0.017961813136935234, -0.020659206435084343, 0.17930448055267334, 0.019953621551394463, -0.015040740370750427, -0.0707906037569046, -0.2228054702281952, 0.006370002403855324, -0.089381143450737, 0.15807375311851501, 0.024127772077918053, -0.07920599728822708, 0.01591072417795658, 0.05196532607078552, -0.051217421889305115, -0.034632015973329544, -0.06790237128734589, -0.11578623205423355, 0.0015866162721067667, 0.07857245206832886, 0.1045733243227005, 0.11273451149463654, -0.07203292101621628, 0.02980847656726837, 0.008572500199079514, 0.048495203256607056, 0.0320267528295517, 0.05769899860024452, -0.09142997860908508, -0.0033607943914830685, 0.1044861450791359, 0.033630695194005966, 0.10918588936328888, -0.09411375224590302, 0.11079984903335571, 0.08490078151226044]
2022-03-27, 17:44:10, Eingang, 105332, 34, No face visible, NA, -1
2022-03-27, 17:44:10, Eingang, 105342, 34, No face visible, NA, -1
2022-03-27, 17:44:10, Eingang, 105352, 34, No face visible, NA, -1
2022-03-27, 17:44:11, Eingang, 105362, 34, No face visible, NA, -1
