2022-03-23, 14:04:04, Found, person, 620, 2200,  886
2022-03-23, 14:04:04, Eingang, 1680907, 620, unknown, NA, [-0.030531272292137146, -0.08626969158649445, -0.09973829984664917, -0.08438477665185928, 0.021174142137169838, -0.06464885920286179, 0.012264848686754704, -0.022463751956820488, 0.0024778509978204966, 0.022823940962553024, 0.049873802810907364, -0.08507484197616577, -0.0461919941008091, -0.12989263236522675, 0.0021954444237053394, 0.08019012957811356, 0.10173380374908447, -0.10885433107614517, 0.07384556531906128, -0.14766809344291687, -0.059151630848646164, -0.008747904561460018, -0.0851011872291565, 0.038973625749349594, 0.012811483815312386, 0.008805486373603344, 0.17848485708236694, 0.09369242191314697, -0.05813086777925491, 0.01680353283882141, -0.059383682906627655, 0.08107130229473114, 0.01911364682018757, -0.05260063707828522, 0.12217367440462112, -0.07051883637905121, 0.027638578787446022, 0.06062089651823044, 0.20516006648540497, 0.023783862590789795, 0.03607967868447304, 0.02349870651960373, -0.06098959967494011, -0.024179253727197647, -0.11194326728582382, -0.12752008438110352, 0.014270180836319923, -0.06396875530481339, 0.04494683817028999, 0.06237117201089859, -0.03187662363052368, 0.08900110423564911, 0.12450181692838669, -0.12484245747327805, 0.05075173079967499, 0.10276424139738083, 0.11439794301986694, 0.07193448394536972, -0.046996403485536575, -0.2410089373588562, -0.09952454268932343, -0.096409372985363, -0.07873024791479111, 0.15561461448669434, 0.043577082455158234, 0.1323736160993576, 0.05387737229466438, 0.0275648795068264, -0.020150110125541687, -0.08697082102298737, -0.0062897722236812115, -0.12457267940044403, 0.11670966446399689, -0.1701330691576004, -0.06434817612171173, 0.03658857196569443, -0.03568752855062485, 0.1256541758775711, -0.06250638514757156, -0.16515223681926727, -0.12169192731380463, -0.023138612508773804, 0.03330208733677864, 0.0708409771323204, 0.07892031222581863, -0.026957111433148384, 0.10078004747629166, -0.05534802004694939, -0.19280557334423065, 0.19294217228889465, 0.11798954755067825, 0.0011452868347987533, -0.0980338454246521, -0.0065363007597625256, 0.07088788598775864, -0.0109145762398839, 0.01637330651283264, -0.11395151913166046, -0.1897735297679901, -0.0022623585537075996, -0.09837044030427933, 0.1923636645078659, 0.07638315856456757, -0.0945398360490799, 0.018644630908966064, 0.005904489196836948, 0.010336712002754211, 0.04582363739609718, -0.029158979654312134, -0.0763423964381218, 0.04932481050491333, 0.05817931517958641, 0.12934213876724243, 0.1055358275771141, -0.030324526131153107, 0.048202309757471085, 0.017282681539654732, 0.11776120960712433, 0.10641109943389893, 0.021337581798434258, -0.02020815946161747, -0.01988503523170948, 0.06695854663848877, 0.03537864238023758, 0.10397330671548843, -0.16503825783729553, 0.061607908457517624, -0.040209051221609116]
2022-03-23, 14:04:06, Eingang, 1680917, 620, No face visible, NA, -1
2022-03-23, 14:04:07, Eingang, 1680936, 620, No face visible, NA, -1
2022-03-23, 14:04:08, Eingang, 1680946, 620, No face visible, NA, -1
2022-03-23, 14:04:10, Eingang, 1680962, 620, No face visible, NA, -1
2022-03-23, 14:04:12, Eingang, 1680978, 620, No face visible, NA, -1
2022-03-23, 14:04:14, Eingang, 1680997, 620, No face visible, NA, -1
2022-03-23, 14:04:14, Eingang, 1680998, 620, No face visible, NA, -1
2022-03-23, 14:04:15, Eingang, 1681014, 620, No face visible, NA, -1
2022-03-23, 14:04:16, Eingang, 1681027, 620, No face visible, NA, -1
2022-03-23, 14:04:18, Eingang, 1681037, 620, No face visible, NA, -1
2022-03-23, 14:04:18, Eingang, 1681047, 620, No face visible, NA, -1
2022-03-23, 14:04:20, Eingang, 1681057, 620, No face visible, NA, -1
2022-03-23, 14:04:20, Eingang, 1681067, 620, No face visible, NA, -1
2022-03-23, 14:04:20, Eingang, 1681068, 620, No face visible, NA, -1
2022-03-23, 14:04:22, Eingang, 1681078, 620, No face visible, NA, -1
2022-03-23, 14:04:22, Eingang, 1681088, 620, No face visible, NA, -1
2022-03-23, 14:04:24, Eingang, 1681098, 620, No face visible, NA, -1
2022-03-23, 14:04:24, Eingang, 1681108, 620, No face visible, NA, -1
2022-03-23, 14:04:26, Eingang, 1681118, 620, No face visible, NA, -1
2022-03-23, 14:04:26, Eingang, 1681128, 620, No face visible, NA, -1
2022-03-23, 14:04:27, Eingang, 1681129, 620, No face visible, NA, -1
2022-03-23, 14:04:28, Eingang, 1681139, 620, No face visible, NA, -1
2022-03-23, 14:04:29, Eingang, 1681149, 620, No face visible, NA, -1
2022-03-23, 14:04:30, Eingang, 1681159, 620, No face visible, NA, -1
2022-03-23, 14:04:32, Eingang, 1681178, 620, No face visible, NA, -1
2022-03-23, 14:04:32, Eingang, 1681188, 620, No face visible, NA, -1
2022-03-23, 14:04:34, Eingang, 1681207, 620, No face visible, NA, -1
2022-03-23, 14:04:34, Eingang, 1681208, 620, No face visible, NA, -1
2022-03-23, 14:04:36, Eingang, 1681218, 620, No face visible, NA, -1
2022-03-23, 14:04:52, Lost, person, 620, 886,  184
