2022-03-26, 12:07:30, Found, person, 79, 2301, 1260
2022-03-26, 12:07:31, Eingang, 824377, 79, unknown, NA, [0.039307620376348495, -0.10603760927915573, -0.04305966943502426, -0.14000077545642853, 0.11903917789459229, -0.0034520779736340046, 0.030743176117539406, -0.05742460861802101, 0.026028906926512718, -0.024157891049981117, 0.11641225963830948, -0.09903869032859802, -0.036665454506874084, -0.14982250332832336, 0.016264569014310837, 0.07612000405788422, 0.07096540927886963, -0.07062146812677383, 0.0999816432595253, -0.1837141066789627, -0.0565371960401535, 0.03478164225816727, -0.06250906735658646, 0.06699982285499573, 0.054722800850868225, -0.0077661992982029915, 0.15512071549892426, 0.07107032835483551, -0.05142774060368538, -0.03406311199069023, -0.02996772713959217, 0.0885484516620636, 0.01995132490992546, -0.033094294369220734, 0.09156455099582672, -0.04100726917386055, 0.014467088505625725, 0.058126892894506454, 0.18198975920677185, 0.03168800473213196, 0.05219411849975586, -0.03267673775553703, 0.0204143263399601, -0.07392541319131851, -0.10343699902296066, -0.11610124260187149, -0.013460184447467327, -0.07923310995101929, 0.08811713755130768, 0.050629906356334686, -0.040054529905319214, 0.10418279469013214, 0.0876476988196373, -0.141605943441391, 0.04858844727277756, 0.15331347286701202, 0.044450897723436356, 0.022216929122805595, -0.0653572678565979, -0.1677413284778595, -0.05682133510708809, -0.12800274789333344, -0.015338544733822346, 0.18175330758094788, 0.01784379966557026, 0.1435403674840927, 0.06362834572792053, 0.019321171566843987, -0.005428238771855831, -0.05958997458219528, -0.0007539247162640095, -0.14581573009490967, 0.10125580430030823, -0.17179211974143982, -0.023032451048493385, -0.011005798354744911, -0.05759337544441223, 0.12021100521087646, -0.14016608893871307, -0.09681637585163116, -0.1271321028470993, 0.02802105061709881, 0.02691146358847618, 0.11815067380666733, 0.08574353903532028, -0.023163581266999245, 0.11264314502477646, -0.09722279757261276, -0.12565083801746368, 0.12931157648563385, 0.10578164458274841, 0.0112347062677145, -0.046538062393665314, -0.027622494846582413, 0.13939811289310455, -0.010798490606248379, -0.07062891870737076, -0.12322679907083511, -0.20576655864715576, 0.006369495298713446, -0.08645894378423691, 0.10987474024295807, 0.10920920968055725, -0.08754878491163254, 0.015170067548751831, 0.0172903873026371, 0.011259585618972778, 0.02354029193520546, -0.06181520223617554, -0.13925190269947052, 0.05703781917691231, 0.07868564873933792, 0.12432629615068436, 0.09880132228136063, 0.0380704291164875, 0.033418163657188416, 0.029157739132642746, 0.16908322274684906, 0.0728008896112442, 0.054391101002693176, -0.05299338698387146, -0.013888447545468807, 0.1644478738307953, 0.07950189709663391, 0.0741056352853775, -0.13584239780902863, 0.030915191397070885, 0.013441354967653751]
2022-03-26, 12:07:31, Eingang, 824387, 79, No face visible, NA, -1
2022-03-26, 12:07:32, Eingang, 824397, 79, No face visible, NA, -1
2022-03-26, 12:07:32, Eingang, 824407, 79, No face visible, NA, -1
2022-03-26, 12:07:33, Eingang, 824417, 79, No face visible, NA, -1
2022-03-26, 12:07:33, Eingang, 824427, 79, No face visible, NA, -1
2022-03-26, 12:07:34, Eingang, 824437, 79, No face visible, NA, -1
2022-03-26, 12:07:34, Eingang, 824438, 79, No face visible, NA, -1
2022-03-26, 12:07:34, Eingang, 824448, 79, No face visible, NA, -1
2022-03-26, 12:07:35, Eingang, 824458, 79, No face visible, NA, -1
2022-03-26, 12:07:36, Eingang, 824468, 79, No face visible, NA, -1
2022-03-26, 12:07:36, Eingang, 824478, 79, No face visible, NA, -1
2022-03-26, 12:07:37, Eingang, 824488, 79, No face visible, NA, -1
2022-03-26, 12:07:37, Eingang, 824498, 79, No face visible, NA, -1
2022-03-26, 12:07:37, Eingang, 824499, 79, No face visible, NA, -1
2022-03-26, 12:07:38, Eingang, 824509, 79, No face visible, NA, -1
2022-03-26, 12:07:38, Eingang, 824519, 79, No face visible, NA, -1
2022-03-26, 12:07:39, Eingang, 824529, 79, No face visible, NA, -1
2022-03-26, 12:07:40, Eingang, 824539, 79, No face visible, NA, -1
2022-03-26, 12:07:40, Eingang, 824549, 79, No face visible, NA, -1
2022-03-26, 12:07:41, Eingang, 824559, 79, No face visible, NA, -1
2022-03-26, 12:07:41, Eingang, 824560, 79, No face visible, NA, -1
2022-03-26, 12:07:41, Eingang, 824570, 79, No face visible, NA, -1
2022-03-26, 12:07:42, Eingang, 824580, 79, No face visible, NA, -1
2022-03-26, 12:07:42, Eingang, 824590, 79, No face visible, NA, -1
2022-03-26, 12:07:43, Eingang, 824600, 79, No face visible, NA, -1
2022-03-26, 12:07:43, Eingang, 824610, 79, No face visible, NA, -1
2022-03-26, 12:07:44, Eingang, 824620, 79, No face visible, NA, -1
2022-03-26, 12:07:44, Eingang, 824621, 79, No face visible, NA, -1
2022-03-26, 12:07:49, Lost, person, 79, 1338,  719
