2022-03-23, 16:48:21, Reidentified, person, 897, 36, 1777
2022-03-23, 16:48:21, Eingang, 1779631, 897, unknown, NA, [-0.02395251765847206, -0.09229616075754166, -0.08240225911140442, -0.09736762940883636, 0.09983116388320923, 0.016484251245856285, 0.022841807454824448, -0.026025881990790367, 0.042340513318777084, 0.03955720365047455, 0.09986258298158646, -0.07960757613182068, -0.0030617343727499247, -0.17027662694454193, -0.0022919904440641403, 0.06552736461162567, 0.05535576120018959, -0.07854378968477249, 0.07799801230430603, -0.17053334414958954, -0.03703561797738075, 0.03248845785856247, -0.08333984017372131, 0.033228032290935516, 0.03214922919869423, -0.07241331785917282, 0.16002590954303741, 0.04502207040786743, -0.13050030171871185, -0.03539915755391121, -0.0846266821026802, 0.044250816106796265, 0.015876535326242447, -0.04071063548326492, 0.1395905613899231, -0.02166960947215557, 0.10367657989263535, -0.01565398834645748, 0.16251392662525177, -0.02117575891315937, 0.08097784221172333, 0.022039227187633514, -0.029149744659662247, -0.06557393819093704, -0.09248543530702591, -0.1493893414735794, 0.023094965144991875, -0.021014628931879997, 0.08680598437786102, 0.07978397607803345, -0.1412709504365921, 0.08525537699460983, 0.08355818688869476, -0.05926332250237465, -0.008374510332942009, 0.11579913645982742, 0.08594352751970291, 0.0038560915272682905, -0.041142236441373825, -0.19529208540916443, -0.06376150250434875, -0.09765829145908356, -0.011822127737104893, 0.18262869119644165, 0.08160517364740372, 0.14129577577114105, 0.061465952545404434, 0.03438140079379082, -0.034752365201711655, -0.1032189130783081, 0.009701697155833244, -0.10666851699352264, 0.03371844440698624, -0.14107942581176758, 0.021601492539048195, -0.07069472223520279, -0.02725496143102646, 0.14772096276283264, -0.0919131338596344, -0.07533673197031021, -0.15023678541183472, -0.06168675422668457, 0.000722855213098228, 0.059580303728580475, 0.0990198478102684, 0.010234648361802101, 0.0916803851723671, -0.057658858597278595, -0.1525988131761551, 0.15589609742164612, 0.07870057970285416, 0.035017505288124084, -0.0425364188849926, -0.004159194882959127, 0.11989869177341461, 0.04407624900341034, -0.059129323810338974, -0.13474783301353455, -0.1968439370393753, 0.06540592014789581, -0.0654190331697464, 0.15072108805179596, 0.08691713958978653, -0.12517982721328735, 0.007907201535999775, 0.062231261283159256, -0.04655670002102852, -0.029801854863762856, -0.06161297857761383, -0.11874828487634659, 0.06488029658794403, 0.04163641110062599, 0.11494847387075424, 0.13001085817813873, -0.03036506287753582, 0.05033751204609871, -0.007975688204169273, 0.13274314999580383, 0.08002328127622604, 0.12613031268119812, -0.11091064661741257, -0.08199600130319595, 0.13145409524440765, 0.05785300210118294, 0.07516904175281525, -0.09169039875268936, 0.11770160496234894, 0.034041278064250946]
2022-03-23, 16:48:21, Eingang, 1779632, 897, unknown, NA, [-0.004353111609816551, -0.08166459202766418, -0.08424147963523865, -0.0719306692481041, 0.10494041442871094, 0.0021680959034711123, 0.04436136782169342, -0.02244993858039379, 0.0337035171687603, 0.01472825463861227, 0.10460156202316284, -0.11590597778558731, -0.0016077148029580712, -0.2016647756099701, 0.010967272333800793, 0.06375965476036072, 0.08427653461694717, -0.07504188269376755, 0.055087387561798096, -0.12309063225984573, -0.031513653695583344, 0.04251226410269737, -0.10137315839529037, 0.0155809186398983, 0.012997773475944996, -0.06989368796348572, 0.11854861676692963, 0.04528925567865372, -0.1253901720046997, -0.02946426346898079, -0.034764811396598816, 0.045305538922548294, 0.002399354474619031, -0.062241218984127045, 0.1269858032464981, -0.05112031474709511, 0.10233674198389053, -0.00857008621096611, 0.16014538705348969, 0.00965091958642006, 0.0566246397793293, 0.01354223769158125, -0.03614722192287445, -0.07789783924818039, -0.11677561700344086, -0.12874265015125275, 0.01998395100235939, -0.003697790903970599, 0.08290042728185654, 0.09180377423763275, -0.12350238859653473, 0.0808292105793953, 0.08012117445468903, -0.05746703967452049, -0.010692888870835304, 0.11232317984104156, 0.08956791460514069, 0.0016127878334373236, -0.04542652890086174, -0.20120656490325928, -0.08739028126001358, -0.11313220113515854, -0.02127660997211933, 0.21818897128105164, 0.08042814582586288, 0.11507286876440048, 0.08184240013360977, 0.0024118206929415464, -0.019597021862864494, -0.11607712507247925, 0.0035293300170451403, -0.14648807048797607, 0.0624418780207634, -0.15305806696414948, 0.014781918376684189, -0.03140687942504883, -0.037956707179546356, 0.15235859155654907, -0.12555502355098724, -0.07753947377204895, -0.1365596204996109, -0.06616471707820892, -0.018546212464571, 0.04537654668092728, 0.12624859809875488, -0.024486316367983818, 0.0684913918375969, -0.08024425804615021, -0.1835382729768753, 0.19005371630191803, 0.09335923939943314, 0.01905442588031292, -0.07426619529724121, -0.016711607575416565, 0.07915906608104706, 0.0324169397354126, -0.04279201105237007, -0.12374913692474365, -0.1861518919467926, 0.027539150789380074, -0.07359252125024796, 0.16055937111377716, 0.0965847373008728, -0.11559435725212097, 0.013706620782613754, 0.06201164051890373, -0.019726600497961044, -0.015536109916865826, -0.048077210783958435, -0.13821913301944733, 0.04837524890899658, 0.06459563225507736, 0.11515047401189804, 0.11378856748342514, -0.018466228619217873, 0.03593125939369202, -0.003472232259809971, 0.10844205319881439, 0.06449409574270248, 0.12450254708528519, -0.07194735109806061, -0.11186740547418594, 0.09713294357061386, 0.05458544194698334, 0.04926902428269386, -0.123939648270607, 0.05799216032028198, 0.03812997415661812]
2022-03-23, 16:48:22, Eingang, 1779642, 897, No face visible, NA, -1
2022-03-23, 16:48:23, Eingang, 1779652, 897, No face visible, NA, -1
2022-03-23, 16:48:24, Eingang, 1779662, 897, No face visible, NA, -1
2022-03-23, 16:48:25, Eingang, 1779672, 897, No face visible, NA, -1
2022-03-23, 16:48:26, Eingang, 1779682, 897, No face visible, NA, -1
2022-03-23, 16:48:27, Eingang, 1779692, 897, No face visible, NA, -1
2022-03-23, 16:48:27, Eingang, 1779693, 897, No face visible, NA, -1
2022-03-23, 16:48:28, Eingang, 1779703, 897, No face visible, NA, -1
2022-03-23, 16:48:29, Eingang, 1779713, 897, No face visible, NA, -1
2022-03-23, 16:48:30, Eingang, 1779723, 897, No face visible, NA, -1
2022-03-23, 16:48:31, Eingang, 1779733, 897, No face visible, NA, -1
2022-03-23, 16:48:40, Lost, person, 897, 2504,  387
